time,open,high,low,close,volume
2021-03-29 18:00:00,136.0,136.0,136.0,136.0,200
2021-03-29 17:30:00,135.9,135.9,135.9,135.9,135
2021-03-29 16:45:00,136.13,136.13,136.06,136.13,1552
2021-03-29 16:30:00,135.86,135.86,135.86,135.86,20833
2021-03-29 16:15:00,135.86,136.0,135.86,135.86,161795
2021-03-29 16:00:00,136.22,136.43,135.77,135.87,424223
2021-03-29 15:45:00,136.5,136.5,136.22,136.24,163205
2021-03-29 15:30:00,136.08,136.515,136.08,136.5,99720
2021-03-29 15:15:00,135.87,136.13,135.85,136.07,101299
2021-03-29 15:00:00,135.735,135.92,135.62,135.8492,138851
2021-03-29 14:45:00,135.665,135.81,135.51,135.74,125035
2021-03-29 14:30:00,136.03,136.05,135.68,135.68,115505
2021-03-29 14:15:00,136.32,136.3299,135.95,136.04,147266
2021-03-29 14:00:00,136.21,136.465,136.1693,136.34,79622
2021-03-29 13:45:00,136.32,136.56,136.2336,136.2336,90709
2021-03-29 13:30:00,136.495,136.61,136.31,136.32,69733
2021-03-29 13:15:00,136.4,136.665,136.38,136.485,107453
2021-03-29 13:00:00,136.35,136.44,136.18,136.355,92624
2021-03-29 12:45:00,136.1934,136.51,136.14,136.34,84856
2021-03-29 12:30:00,136.11,136.2193,135.8703,136.2193,71505
2021-03-29 12:15:00,136.2,136.36,136.03,136.13,97518
2021-03-29 12:00:00,136.17,136.465,136.11,136.21,126605
2021-03-29 11:45:00,135.97,136.24,135.92,136.18,136964
2021-03-29 11:30:00,135.75,136.01,135.6,135.955,119051
2021-03-29 11:15:00,136.02,136.14,135.57,135.74,173968
2021-03-29 11:00:00,136.33,136.55,135.945,136.0,178035
2021-03-29 10:45:00,136.38,136.45,136.13,136.32,116813
2021-03-29 10:30:00,136.46,136.56,136.28,136.36,207511
2021-03-29 10:15:00,136.86,137.07,136.41,136.45,190473
2021-03-29 10:00:00,136.68,136.99,136.42,136.92,177010
2021-03-29 09:45:00,135.98,136.73,135.8,136.72,401176
2021-03-29 09:30:00,135.69,135.97,135.68,135.97,1791
2021-03-29 09:00:00,135.4,135.4,135.4,135.4,221
2021-03-29 08:45:00,135.4001,135.4001,135.4001,135.4001,100
2021-03-29 08:30:00,135.87,135.87,135.49,135.7,5466
2021-03-29 08:15:00,134.8317,134.8317,134.8317,134.8317,667
2021-03-29 08:00:00,135.87,135.87,135.87,135.87,200
2021-03-29 07:30:00,135.31,135.31,135.31,135.31,263
2021-03-29 07:15:00,135.7,135.7,135.7,135.7,104
2021-03-29 07:00:00,135.87,135.87,135.87,135.87,242
2021-03-26 19:45:00,135.7,135.7,135.7,135.7,2338
2021-03-26 19:30:00,135.7,135.7,135.7,135.7,500
